cmd,scene
"Retrieve the remote from the entertainment room, then take it past the couch into the next room and drop it into the recycling bin.",FloorPlan_Train7_5
"Go into the room that has a TV, pick up the blue pillow on the chair, go into the central room and put the pillow on the brown table.",FloorPlan_Train8_1
"Go to the adjacent corridor next to the study, pick up the blue plate, and place it in the bin that is in the living room.",FloorPlan_Train8_1
Go to the drawers near the bed and pick up the alarm clock and drop it in the recycle box near the laptop.,FloorPlan_Train7_5
Take the apple and place it inside of the box.,FloorPlan_Train1_3
Next to the couch on the chair pick up the apple. Bring the apple into the adjacent room with the purple chair and put the apple on the purple chair.,FloorPlan_Train12_3
Go to the corridor and pick up the box at one end of the corridor and place it next on the chair next to the plant at the other end of the corridor.,FloorPlan_Train12_3
Pick up the remote control and go and place it on the drawer next to the TV.,FloorPlan_Train12_3
Go pick up the mug on the table with the laptop and put the mug on the table near the TV and couch.,FloorPlan_Train7_5
Pick up the top book from the chair and place it in the box next to the television.,FloorPlan_Train12_3
"Go into the room with the purple chair and pick up the pillow on the purple chair, go into the area with the TV and place the pillow on the TV stand.",FloorPlan_Train12_3
Run to the smaller living area and pick up the vase from the table next to the chair and bring it to me in the chair next to the plant.,FloorPlan_Train12_3
Pick up the remote and put in on the couch.,FloorPlan_Train7_5
Take the spray bottle and place it to the right of the television.,FloorPlan_Train1_3
Pick up the spray from the floor and place it on the bottom shelf of the TV stand next to the baseball bat.,FloorPlan_Train12_3
"Take the apple away from the plant, making sure you then situate it between the salt and pepper on the dresser near the TV room.",FloorPlan_Train8_1
Run quickly to the room with a sideboard and pick up the vase. Take the vase to the living room and place it at the centre of the coffee table. Hasten up please!,FloorPlan_Train5_1
Take the apple on the chair and go to the living room. Then put it next to the TV.,FloorPlan_Train12_3
Take the basketball and place it next to the lamp.,FloorPlan_Train1_3
Go pick up the salt and put it on the table next to the laptop and tennis.,FloorPlan_Train8_1
Take the remote on the couch and go to the living room. Then put it next to the TV.,FloorPlan_Train12_3
Bring the bowl from the chair and place it next to the cup by the TV.,FloorPlan_Train12_3
Go to the living room and pick up the plate on the coffee table. Place the plate on the table with the laptop in the next room.,FloorPlan_Train7_5
Throw the pencil away in the trash can.,FloorPlan_Train5_1
"Mosey on over to the drawer near the office to pick up the blue plate, and drop it on the chair near the painting with the reddish-brown tones.",FloorPlan_Train8_1
Pick up the alarm and put in on top of the drawer next to the spray and apple.,FloorPlan_Train8_1
Grab the book that is next to the television. Place it on the table next to the hand.,FloorPlan_Train5_1
Place the apple next to the laptop on the table by the books.,FloorPlan_Train1_3
Grab the newspaper on the gray couch. Place it on the bed.,FloorPlan_Train5_1
Go grab the tennis racket off the other office floor and place it atop the couch.,FloorPlan_Train1_3
Place the spray bottle next to the basketball.,FloorPlan_Train5_1
"Travel to the tall tan drawers to grab the pot, and then put it on the couch that has no pillow.",FloorPlan_Train8_1
"Go to the living room and pick up the pepper on the table. Then, put the pepper on the table with a remote controller and an alarm clock on it. Place the pepper immediately next to the remote controller.",FloorPlan_Train8_1
Take the hand from the coffee table to the yellow couch.,FloorPlan_Train5_1
Go into the room with the lamp and grab the bat that is next to the wall. Take the bat into the room with the bed and place the bat on the mattress.,FloorPlan_Train1_3
"Next to the chair bed is a baseball bat, pick it up and take it to the sofa.",FloorPlan_Train5_1
Pick up the basketball next to the baseball bat and put it in the bin.,FloorPlan_Train7_5
Pick up the basketball and put it on top of the drawer next to the vase.,FloorPlan_Train12_3
Take the remote from the TV table and place it on the sofa.,FloorPlan_Train7_5
"Go into the room with the bed and take the pillow that is lying on top of the mattress. Then, place the pillow on the couch in the living room.",FloorPlan_Train1_3
Take the clock to the sofa chair.,FloorPlan_Train8_1
Pick up the vase on the top of the drawer and put it on the box next to the alarm and candle and basketball.,FloorPlan_Train12_3
Go to the drawer and pick up the spray and take it to the sofa chair.,FloorPlan_Train8_1
Go to the drawer and pick up the glass bottle and put it on the top of the shelf.,FloorPlan_Train8_1
Take a vase and place on the coffee table flush against the wall.,FloorPlan_Train7_5
Pick up the pillow on the chair and put it on the grey sofa with a laptop in the living room. Place it next to the remote control.,FloorPlan_Train12_3
Put the spray next to the bin on the white table in the lounge.,FloorPlan_Train7_5
Please bring the box from the TV room and drop it into the receptacle bin.,FloorPlan_Train12_3
Go to the bedroom and take the teddy bear that is sitting on the bed. Take the teddy bear and place it on the brown shelf next to the vase.,FloorPlan_Train5_1
Take the TV remote and put it on the bed.,FloorPlan_Train7_5
Grab the candle from the brown shelf. Take the candle and place it on the coffee table in the living room.,FloorPlan_Train5_1
Pick up the apple and put it on the white table.,FloorPlan_Train8_1
Place the bowl on the bed.,FloorPlan_Train7_5
Pick up the apple and place it on the table near the tennis racket.,FloorPlan_Train1_3
Grab the cellphone from the coffee table. Place the cellphone on the brown shelf next to the statue.,FloorPlan_Train5_1
Pick up the bottle on the drawers and put it on the white table.,FloorPlan_Train8_1
Take the basketball from the floor by the bed. Place the basketball in the bin across the painting of a river and mountains.,FloorPlan_Train7_5
Pick up the pillow on the bed and place it by the TV.,FloorPlan_Train1_3
"Run in to the next room and grab that vase, and then put it gently on the tan seat.",FloorPlan_Train12_3
Pick up the basketball next to the alarm and put it in on the white chair.,FloorPlan_Train12_3
Take the apple and put in the green chair.,FloorPlan_Train8_1
Take the cup from the coffee table. Put the cup on the brown table next to the laptop.,FloorPlan_Train7_5
Grab the spray from the coffee table with the plant. Place the spray on the black table next to the pepper.,FloorPlan_Train8_1
Pick up the book and put it on the white chair.,FloorPlan_Train12_3
Pick up the bottle and put it on the sofa.,FloorPlan_Train12_3
Take the black mug from the white table with the laptop. Place the black mug on the coffee table next to the leafy plant.,FloorPlan_Train8_1
Pick up the basketball on the floor opposite the TV and place it on the bed.,FloorPlan_Train1_3
Take the remote from the table. Place it on top of the drawers that have a cooking pot on top of it.,FloorPlan_Train8_1
Pick up the spray that is on the brown table and throw it in the red bin.,FloorPlan_Train1_3
Pick up the teddy from the bed and place it by the TV.,FloorPlan_Train5_1
Grab the bowl from the chair. Put the bowl on the black table next to the mug.,FloorPlan_Train12_3
Pick up the bottle and put it next to the pot on the white table.,FloorPlan_Train5_1
Take the basketball from atop the table. Place the basketball on the white chair next to the couch.,FloorPlan_Train12_3
Put the remote in the box.,FloorPlan_Train12_3
Grab the candle and put it on the bottom drawer of the entertainment center to the right of the baseball bat.,FloorPlan_Train12_3
"Go to the living room, pick up the book and put it on the drawer.",FloorPlan_Train5_1
Grab the cup that is next to the television. Place the cup on top of the chest of drawers next to the vase.,FloorPlan_Train12_3
Pick up the newspaper on the sofa and place it on the bed.,FloorPlan_Train5_1
"Go to the living room, pick up the newspaper. Go to the bedroom and put the newspaper on the bed next to the laptop.",FloorPlan_Train5_1
"Pick up the alarm on the drawer, go to the living room and put it on the table.",FloorPlan_Train7_5
Pick up the candle and place it by the apple on the table with the spray.,FloorPlan_Train5_1
Take the mug that is next to the laptop to the living room and place it on the chair next to the sofa.,FloorPlan_Train1_3
Put the cup in the trash can.,FloorPlan_Train12_3
"Go to the living room, pick up the cup, and put it in the blue bin.",FloorPlan_Train7_5
Go to the table and grab the apple on the table. Then go to the living room and place it on the sofa.,FloorPlan_Train1_3
Pick up the vase that is on the brown table. Go to the living room and put the vase on the white table.,FloorPlan_Train7_5
Put the apple in the box.,FloorPlan_Train12_3
Take the fork and place it in the bowl.,FloorPlan_Train5_1
Pick up the alarm and place it by the plate on the table near the TV.,FloorPlan_Train7_5
Pick up the tennis racket off the floor and put it on the bed.,FloorPlan_Train1_3
Pick up the alarm and put it on the brown desk next to the apple.,FloorPlan_Train8_1
Take the apple from the white chair beside the couch and place it in the grey bowl on the white chair near the plant.,FloorPlan_Train12_3
Pick up the apple from the desk and put it on the black desk next to the plate.,FloorPlan_Train8_1
Grab the yellow vase from the bedroom and place it in the box next to the TV.,FloorPlan_Train1_3
Pick up the yellow vase on the brown table and then move to the lounge and place the book on the white table.,FloorPlan_Train7_5
"Go to the study room, pick up the tennis bat next to the laptop, go to the living room and put the bat on the chair next to the pillow.",FloorPlan_Train8_1
Take the box next to the TV and place it under the table where the laptop is located.,FloorPlan_Train1_3
Pick up the book lying on the table next to the lamp and put it in the trash can.,FloorPlan_Train1_3
Take the tennis racket that's next to the brown desk and place it on the bed.,FloorPlan_Train1_3
"Go to the bedroom and take the teddy from the bed, then go to the living room and place the teddy on the sofa.",FloorPlan_Train5_1
Get the remote and place it in the can next to the television.,FloorPlan_Train8_1
Pick up the remote from the couch. Put it on the drawer next to the vase.,FloorPlan_Train12_3
Grab the remote off the nearby table. Go to the living room and place it on the chair directly next to the pillow.,FloorPlan_Train8_1
Pick up the pillow. Put it on the drawer next to the vase.,FloorPlan_Train12_3
Grab the first book from the circular white table and put it on the couch.,FloorPlan_Train1_3
Go to the living room and take the book that's next to the television. Then take the book and place it on the bed.,FloorPlan_Train5_1
Pick up the vase on the brown table. Move to the living room and put the vase on the couch.,FloorPlan_Train7_5
Pick up the apple and put it in the living room next to the TV.,FloorPlan_Train12_3
Pick up the apple and place it by the pillow on the sofa.,FloorPlan_Train7_5
Go to the bedroom and pick up the pillow from the bed and place it on the couch in the living room.,FloorPlan_Train1_3
"Run to the open space with a chest in the middle of the room. Pick up the apple next to the spray and the bowl. Take the apple to the living room and put it on the table, next to the salt on the table.",FloorPlan_Train8_1
Place the alarm next to the laptop.,FloorPlan_Train8_1
Pick up the basketball and place it on the table near the laptop.,FloorPlan_Train7_5
Go to the side room and pick up the tennis racket from beside the desk and place it in the box beside the television.,FloorPlan_Train1_3
"Take the basketball from the table and run it to the trash can next to the bed, placing it down inside of it.",FloorPlan_Train5_1
Take the TV remote and place it on the white sofa.,FloorPlan_Train1_3
Pick up the remote and place it near the spray and the apple on the drawer.,FloorPlan_Train8_1
Go to the side room and pick up the book from the table and place it on the bookshelf in the bedroom.,FloorPlan_Train1_3
"Run to the living room and grab the pen off the drawer, then bring it back to me to the bedroom.",FloorPlan_Train5_1
Take the vase from the brown table in the next room and place the vase on the sofa in the living room.,FloorPlan_Train7_5
Pick up the apple and place it by the alarm clock.,FloorPlan_Train8_1
"Pick up the hand, take it to the bowl and place the hand inside the bowl.",FloorPlan_Train5_1
Take the alarm from the bedroom and place it on the desk next to the laptop.,FloorPlan_Train1_3
"Go to the table in front of the TV and grab the hand, then bring it to the bedroom and place it on the bed.",FloorPlan_Train5_1
Go to the nearby set of drawers and pick up the bottle then place it on the bedside table.,FloorPlan_Train5_1
"Pick up the pot and place it by the TV, in the bin.",FloorPlan_Train8_1
Pick up the vase and place it on the sofa.,FloorPlan_Train7_5
Take the basketball and place it on the table next to the bat.,FloorPlan_Train1_3
Pick up the mug and place it on the desk.,FloorPlan_Train7_5
Pick up the basketball and put it on the sofa.,FloorPlan_Train5_1
Pick up the apple and place it in the box on the floor in the TV room.,FloorPlan_Train12_3
"Pick up the plate from the white table and drop it into the recycling bin on the low table, next to the laptop.",FloorPlan_Train7_5
Take the book on the bed and place it on top of the book on the TV stand.,FloorPlan_Train5_1
Pick up the spray by the chair and place it near the laptop on the sofa.,FloorPlan_Train12_3
Move the pepper next to the plant on the table.,FloorPlan_Train8_1
"Go to the bedroom and pick up the teddy from the bed, then walk to the grey couch and put the teddy on it.",FloorPlan_Train5_1
"Go to the living room and take the cup from the table, then go to the room where the laptop is located and place the cup next to the laptop.",FloorPlan_Train7_5
Take the vase from the brown table close to the Starry Night painting and place it on the blue chair that's in the back corner of the room.,FloorPlan_Train7_5
Go to the chair and pick up the bowl on the chair and put it on the chair across the hallway.,FloorPlan_Train12_3
Take the cellphone and place it on the desk next to the bed.,FloorPlan_Train5_1
"Pick up the alarm clock next to the lamp and place it on the table, next to the laptop.",FloorPlan_Train7_5
Take the spray that is next to the bin and then go to the living room and place the spray on the table.,FloorPlan_Train7_5
Pick up the pillow and place it on the other chair.,FloorPlan_Train8_1
Move the vase from the brown table to the cushion that is on the sofa.,FloorPlan_Train7_5
Go to the drawer and pick up the vase and place it on the sofa next to the drawer.,FloorPlan_Train12_3
Run to the living room and grab the cellphone off the table and bring it back to me in the bedroom.,FloorPlan_Train5_1
Pick up the spray and put it next to the TV.,FloorPlan_Train8_1
Pick up the candle in the couch room and place it near the book on the sofa.,FloorPlan_Train12_3
Take the spray that is sitting next to the plant and put it in the drawer that the pot is sitting on top of.,FloorPlan_Train8_1
Move the baseball bat by the chair near the TV to the chair that faces the opposite way on the other side of the partition.,FloorPlan_Train8_1
Pick up the apple and place it on the drawer.,FloorPlan_Train12_3
Take the pillow from the couch and place it on the blue chair in the corner.,FloorPlan_Train7_5
Go to the living room and pick up the pillow on the chair. Then go to the bin in the same room and drop it inside.,FloorPlan_Train8_1
Take the plate from the coffee table and put it inside the blue recycling bin next to the desk.,FloorPlan_Train7_5
Go pick up the fork and place it next to the laptop on my bed.,FloorPlan_Train5_1
Pick up the pillow and place it on the bed.,FloorPlan_Train7_5
"Lift the plate from the small, high table and place it on the low table at the other end of the hall, next to the salt and pepper.",FloorPlan_Train8_1
Pick up the yellow vase from the brown table and take it to the living room and put it on the coffee table.,FloorPlan_Train7_5
Pick up the pillow and place it in the box.,FloorPlan_Train12_3
Go pick up the spray and drop it in the trash box.,FloorPlan_Train5_1
"Run to the living room, grab the pillow from the couch and bring it back to the bedroom and put it on the bed.",FloorPlan_Train7_5
Grab the remote control next to the alarm clock and place it on the couch in the room with the TV.,FloorPlan_Train8_1
"Pick up the TV remote from the sofa, take it to the TV and place it between the TV and the pot, on top of the unit.",FloorPlan_Train12_3
Pick up the spray and put it on the chair.,FloorPlan_Train12_3
Go to the living room and grab the cup from the coffee table and put it in the blue bin in the side room.,FloorPlan_Train7_5
Take the spray bottle from next to the wicker chair and place it next to the bottle on the small table.,FloorPlan_Train12_3
Pick up the remote on the little side table in front of you and place it in the living room in front of the TV.,FloorPlan_Train8_1
Take the apple from the desk with the plant and place it on the table with the salt and pepper shakers.,FloorPlan_Train8_1
Go to the purple chair and pick up the pillow and place it on the grey sofa.,FloorPlan_Train12_3
Take the Arabian Nights book from the bed and place it on the yellow sofa.,FloorPlan_Train5_1
Pick up the basketball on the white cube unit and drop it in the open box that is to the left of the TV.,FloorPlan_Train12_3
Grab the apple off of the table in the main room and put it in the bin in the living room.,FloorPlan_Train8_1
Take the pencil from the grey sofa and place it on the round bedside table next to the bed.,FloorPlan_Train5_1
Find the blue plate on the stand and then go to the room with the television. Then find the bin and drop the plate inside.,FloorPlan_Train8_1
Go to the drawer and pick up the salt. Then go to the living room and place the salt next to the television.,FloorPlan_Train8_1
Get the black mug beside the laptop and bring it back to me in the living room.,FloorPlan_Train8_1
Take the apple that is next to the laptop and place it on top of the blue chair that is closest to the corner in the same room.,FloorPlan_Train7_5
Go to the next room and pick up the basketball from the drawer. Then go back to the next room and place the basketball next to the laptop.,FloorPlan_Train12_3
Take the remote control that is next to the TV and place it on the sofa.,FloorPlan_Train7_5
Fetch the spray bottle and put in on the desk next to the laptop.,FloorPlan_Train1_3
Go to the bedroom and grab the basketball from near the bed. Then bring it to the living room and place it on the couch.,FloorPlan_Train7_5
Grab the basketball off of the side table and place it in the box in the hallway.,FloorPlan_Train12_3
Take the spray bottle on the floor next to the blue bin and place it on the white table in the living room.,FloorPlan_Train7_5
"Find the bowl that's on a chair in the next room, then place the bowl on the sofa next to the laptop.",FloorPlan_Train12_3
Find the book on the white table and put it on the sofa.,FloorPlan_Train1_3
Take the remote from the arm of the chair and place it on the cabinet in front of the TV.,FloorPlan_Train12_3
"Go to the next room and find the cup next to the television, then go to the box in the same room and drop it inside.",FloorPlan_Train12_3
Take the remote control next to the clock on the small brown table and place it on the green armchair with the blue pillow opposite the TV.,FloorPlan_Train8_1
Pick up the remote control and take it to the TV area and put it down on the chest of drawers.,FloorPlan_Train12_3
Take the cellphone from the coffee table and place it on the bedside table.,FloorPlan_Train5_1
Pick up the book from the brown chair and put it away on the cupboard beside the purple armchair.,FloorPlan_Train12_3
Take the apple from the large rectangular table with the plant in the middle and place it on the sideboard that is next to the TV.,FloorPlan_Train8_1
Move the basketball from the floor to the little table in the room with the baseball bat.,FloorPlan_Train1_3
Go to the next room and grab the remote from the brown table. Then go to the living room and place the remote next to the television.,FloorPlan_Train8_1
"Take the bottle from the large rectangular table with the plant in the middle and place it in the room with the large white round table, on top of the table next to the laptop.",FloorPlan_Train8_1
Move the teddy from the bed to the yellow sofa.,FloorPlan_Train5_1
Take the gold candle on top of the small square lattice table and place it on the sideboard next to the purple armchair in the same room.,FloorPlan_Train12_3
Go to the hallway and pick up the bottle and place it on the drawer next to the purple armchair.,FloorPlan_Train12_3
Take the basketball that is on the small white lattice table and place it in cardboard box near the TV.,FloorPlan_Train12_3
Get the book from the room with the baseball bat and take it to the sofa.,FloorPlan_Train1_3
Get the apple next to the laptop and place it on the desk with the plant on it.,FloorPlan_Train1_3
"Take the white mug from the small sideboard opposite the light brown armchair with the books on top of it, and place it on top of the grey sofa next to the laptop.",FloorPlan_Train12_3
Please pick up the tennis racket from the floor and take it and place it on the bed.,FloorPlan_Train1_3
"Go to the living room and pick up the empty uncovered box on the floor, beside the TV stand. Take it to the room with the baseball bat and place it on the table in the corner of the room, close to the lamp.",FloorPlan_Train1_3
"Go to the room with the spray, pick up the spray and take it to the living room. Place the spray on the TV stand.",FloorPlan_Train1_3
Pick up the box in the living room next to the TV and put it on the bed in the bedroom.,FloorPlan_Train1_3
Find the apple in the lounge and put it in the bowl on the set of drawers.,FloorPlan_Train5_1
Go to the bedroom and pick up the yellow cushion that is on the bed. Put it on the white chair near the picture.,FloorPlan_Train1_3
Get the teddy on the bed and place it next to the television.,FloorPlan_Train5_1
Get the basketball from the bedroom and put it on the television table.,FloorPlan_Train7_5
Move the vase from the table to the sofa in the lounge.,FloorPlan_Train7_5
"Go to the living room, pick up the cup on the small table and go slowly to the bedroom. Place the cup on the desk in the bedroom, next to the table clock.",FloorPlan_Train5_1
"Pick up the tennis racket that is on the floor near the desk, then walk into the living room and place it on the sofa.",FloorPlan_Train1_3
Go to the bedroom room and pick up the teddy bear on the bed. Take it to the living room and place it in the middle of the sofa.,FloorPlan_Train5_1
Take the plate from the lounge table and put it next to the laptop.,FloorPlan_Train7_5
"Go toward the tan chair with the books, grab the top white book. Then go back into the living room and put it on top of the wooden dresser beside the glass vase.",FloorPlan_Train12_3
Go to the desk with the plant on top and pick up the tennis racquet on the ground and place it inside the red bin.,FloorPlan_Train1_3
Get the basketball from the floor by the bed and put it in the blue bin.,FloorPlan_Train7_5
Go pick up the apple next to my laptop and place it on the blue chair at the furthest end of the same room.,FloorPlan_Train7_5
Pick up the apple that is near the laptop. Place it on the round table near the lamp.,FloorPlan_Train1_3
Get the remote from the small brown table and put it on the chair by the television.,FloorPlan_Train8_1
Get the pot in front of the television and place it on the bed.,FloorPlan_Train5_1
"Pick up the book that is on the bed, then walk to the living room and place it on the table near the hand.",FloorPlan_Train5_1
"Walk to the living room and pick up the cell phone off the table, then place it on the bed.",FloorPlan_Train5_1
Take the spray from the floor by the bin to the table with the TV on it.,FloorPlan_Train7_5
Take the tennis racket next to the laptop and put it on the chair that’s next to the baseball bat in the TV room.,FloorPlan_Train8_1
"Pick up the spray off the square table, then bring it to me in the bedroom.",FloorPlan_Train5_1
Get the vase from the table and put it on the sofa.,FloorPlan_Train7_5
Go to the living room and pick up the box on the floor by the TV and place it on the white chair in the hallway.,FloorPlan_Train1_3
Pick up the tennis racket and place it on the black table next to the red bin.,FloorPlan_Train1_3
Go to the central drawer unit and move the apple into the bowl.,FloorPlan_Train8_1
"Grab the apple off the chair next to the couch, then drop it in the box near the TV.",FloorPlan_Train12_3
Get the basketball and place it on the table that is in front of the television.,FloorPlan_Train5_1
"Pick up the vase, head to the light blue chairs, and place the vase on right chair.",FloorPlan_Train7_5
Find the pot next to the TV and put it in the box in the corner of the room.,FloorPlan_Train12_3
Pick up the remote and take it to the chair facing the TV.,FloorPlan_Train8_1
"Pick up the basketball next to the baseball, then place it on the chair near the lamp.",FloorPlan_Train7_5
Find the pillow on the purple chair and place it on the sofa.,FloorPlan_Train12_3
Fetch the blue plate and put it on the shelf under the one with the pot.,FloorPlan_Train8_1
"Get the apple that is next to the laptop, then go to the living room and place it on the table near the cup.",FloorPlan_Train7_5
"Go to the living room and pick up the remote next to the television, then place it on top of the books on the chair.",FloorPlan_Train7_5
"Pick up the remote off the grey couch, then put it down next to the TV.",FloorPlan_Train12_3
Take the baseball bat from the TV room and place it on the purple chair.,FloorPlan_Train12_3
Get the apple from the white chair and put it next to the alarm.,FloorPlan_Train12_3
"Pick up the remote off the table, then bring it to me in the room with the television.",FloorPlan_Train8_1
Fetch the top book from the brown armchair and put it in the cardboard box in the corner of the room.,FloorPlan_Train12_3
"Pick up the blue plate that is on the table with the cup, then walk to the table with the plant and place it near the apple.",FloorPlan_Train8_1
Pick up the newspaper lying on the couch and place it on the adjacent coffee table.,FloorPlan_Train5_1
Find the basketball and put it on top of the books.,FloorPlan_Train12_3
Move to the bedroom. Take the teddy from the bed and place it on the yellow couch in the living room.,FloorPlan_Train5_1
"Go to the living room and pick up the blue pillow, then take it to table that has the salt and place it there.",FloorPlan_Train8_1
Move to the bedroom. Take the book from the bed and place it on the desk beside the bed.,FloorPlan_Train5_1
Go to the living room and pick up the dog and place it on the desk in the bedroom.,FloorPlan_Train5_1
Go to the end of the bedroom beside the cot. Pick up the basketball to the left of the baseball bat and place it by the TV.,FloorPlan_Train7_5
Pick up the apple in the office next to the laptop and then place the apple in the box in the living room next to the TV.,FloorPlan_Train1_3
"Pick up the basketball that's next to the alarm, then drop it in the can next to the white chair.",FloorPlan_Train12_3
"Get the apple from the chair in the living room, then bring it to me in the television room.",FloorPlan_Train12_3
Go get the vase from the brown table. Take it to the living room and place it next to the remote.,FloorPlan_Train7_5
"Pick up the candle next to the basketball, then place it on the sofa near the laptop.",FloorPlan_Train12_3
"Go to the grey couch and pick up the newspaper, take it to the bedroom and place it on the bed.",FloorPlan_Train5_1
Go to the living room. Pick up the cup and put it on the plate on the table.,FloorPlan_Train7_5
Move to the other office room by exiting the room you are in and then turning right. Pick up the tennis racket on the floor by the desk. Take the tennis racket into the living room and place it on the sofa.,FloorPlan_Train1_3
Grab the glass cup from the table in front of the TV and place it next to the alarm clock on the dresser next to the bed.,FloorPlan_Train7_5
"Grab the pillow off the chair, then go to the brown chair and place it on top off the books.",FloorPlan_Train12_3
Go to the bedroom which is at the far end of the lounge and pick up the pillow which is on the bed. Take the pillow back to the study where you started and place it on the red bin.,FloorPlan_Train1_3
Put my basketball on the chair beneath the framed desert canyon photo.,FloorPlan_Train1_3
Please pick up the cup by the laptop and take it to the bedroom and place it on top of the bookshelf.,FloorPlan_Train1_3
"Go into the office, grab the spray beside the plant, and put it in the red trash can.",FloorPlan_Train1_3
Find my dresser alarm and place it in the box next to the TV.,FloorPlan_Train1_3
Go get the apple that is on top of the chest of drawers and place it on top of the shelf.,FloorPlan_Train8_1
"Take the fork, which is on top of the brown drawers opposite the yellow couch, and then walk towards the living room. Place the fork on the black table next to the television.",FloorPlan_Train5_1
Grab the vase that is on the brown table. Place it on the white desk next to the alarm.,FloorPlan_Train7_5
Pick up the tennis racket next to the brown desk and place it on the black shelf.,FloorPlan_Train1_3
Please pick up the basketball on the floor by the sofa and take it to the room with a desk and place it on the desk.,FloorPlan_Train1_3
Walk into the bedroom which is to your left and pick up the book on the bed. Walk back past the couch and to the living room and place the book on the black sofa opposite the television.,FloorPlan_Train5_1
Go get the spray off the black dresser in the next room and trash it in my bedroom.,FloorPlan_Train5_1
